variant,horizon_bars,y_true,y_pred
thetaBiquatBasis,4,112671.65,114560.52005146438
raw,4,113198.2,112338.1
thetaBiquatBasis,4,113198.2,114623.9483185228
raw,4,113900.01,113218.53
thetaBiquatBasis,4,113900.01,114663.01206699165
raw,4,113649.78,113169.49
thetaBiquatBasis,4,113649.78,114680.22871587779
raw,4,114243.06,112671.65
thetaBiquatBasis,4,114243.06,114483.45860655239
raw,4,114069.35,113198.2
thetaBiquatBasis,4,114069.35,114512.52129360482
raw,4,114317.15,113900.01
thetaBiquatBasis,4,114317.15,114494.74312933661
raw,4,114336.93,113649.78
thetaBiquatBasis,4,114336.93,114460.20660460912
raw,4,114334.04,114243.06
thetaBiquatBasis,4,114334.04,114566.32775737735
raw,4,113799.99,114069.35
thetaBiquatBasis,4,113799.99,114627.57995478812
raw,4,114046.61,114317.15
thetaBiquatBasis,4,114046.61,114399.2208420514
raw,4,113894.18,114336.93
thetaBiquatBasis,4,113894.18,114300.91491523298
raw,4,113621.81,114334.04
thetaBiquatBasis,4,113621.81,114146.50860042407
raw,4,113878.93,113799.99
thetaBiquatBasis,4,113878.93,114193.92884710578
raw,4,114347.29,114046.61
thetaBiquatBasis,4,114347.29,114256.00920130807
raw,4,114289.99,113894.18
thetaBiquatBasis,4,114289.99,114304.03958426631
raw,4,114176.89,113621.81
thetaBiquatBasis,4,114176.89,114094.7961711153
raw,4,114342.28,113878.93
thetaBiquatBasis,4,114342.28,114163.83543745201
raw,4,114602.16,114347.29
thetaBiquatBasis,4,114602.16,114134.99968690192
raw,4,115230.89,114289.99
thetaBiquatBasis,4,115230.89,114128.99975230788
raw,4,115105.33,114176.89
thetaBiquatBasis,4,115105.33,114232.38949776225
raw,4,114927.97,114342.28
thetaBiquatBasis,4,114927.97,114299.63216861534
raw,4,115361.13,114602.16
thetaBiquatBasis,4,115361.13,114053.51928904658
raw,4,114953.14,115230.89
thetaBiquatBasis,4,114953.14,113965.4190444916
raw,4,114622.81,115105.33
thetaBiquatBasis,4,114622.81,113787.23612908105
raw,4,114882.06,114927.97
thetaBiquatBasis,4,114882.06,113818.6721594324
raw,4,115374.57,115361.13
thetaBiquatBasis,4,115374.57,113915.67243406299
raw,4,115233.74,114953.14
thetaBiquatBasis,4,115233.74,113969.60232693478
raw,4,115389.99,114622.81
thetaBiquatBasis,4,115389.99,113761.55463319871
raw,4,115221.4,114882.06
thetaBiquatBasis,4,115221.4,113831.65488111894
raw,4,114892.21,115374.57
thetaBiquatBasis,4,114892.21,113806.79862232738
raw,4,115245.25,115233.74
thetaBiquatBasis,4,115245.25,113819.373384851
raw,4,114963.15,115389.99
thetaBiquatBasis,4,114963.15,113940.00978485102
raw,4,114958.8,115221.4
thetaBiquatBasis,4,114958.8,113998.09153714319
raw,4,115239.22,114892.21
thetaBiquatBasis,4,115239.22,113736.57107326032
raw,4,115218.63,115245.25
thetaBiquatBasis,4,115218.63,113669.50077296293
raw,4,115136.36,114963.15
thetaBiquatBasis,4,115136.36,113474.20122899712
raw,4,115280.84,114958.8
thetaBiquatBasis,4,115280.84,113483.46493996677
raw,4,115180.0,115239.22
thetaBiquatBasis,4,115180.0,113606.33372410017
raw,4,115602.0,115218.63
thetaBiquatBasis,4,115602.0,113688.38686545935
raw,4,115671.06,115136.36
thetaBiquatBasis,4,115671.06,113472.039678345
raw,4,115713.32,115280.84
thetaBiquatBasis,4,115713.32,113558.82656268433
raw,4,115327.95,115180.0
thetaBiquatBasis,4,115327.95,113534.86315550024
raw,4,115210.69,115602.0
thetaBiquatBasis,4,115210.69,113520.9370306739
raw,4,115323.06,115671.06
thetaBiquatBasis,4,115323.06,113652.64626334587
raw,4,115319.97,115713.32
thetaBiquatBasis,4,115319.97,113697.35232885656
raw,4,115471.15,115327.95
thetaBiquatBasis,4,115471.15,113418.82192272351
raw,4,115157.11,115210.69
thetaBiquatBasis,4,115157.11,113370.61633209015
raw,4,114864.42,115323.06
thetaBiquatBasis,4,114864.42,113162.97779112004
raw,4,114821.12,115319.97
thetaBiquatBasis,4,114821.12,113171.18482231812
raw,4,114728.09,115471.15
thetaBiquatBasis,4,114728.09,113319.00591463983
raw,4,114651.46,115157.11
thetaBiquatBasis,4,114651.46,113395.08146985038
raw,4,114616.31,114864.42
thetaBiquatBasis,4,114616.31,113199.08754758583
raw,4,114708.15,114821.12
thetaBiquatBasis,4,114708.15,113289.87681562641
raw,4,114740.01,114728.09
thetaBiquatBasis,4,114740.01,113259.48197413595
raw,4,114713.83,114651.46
thetaBiquatBasis,4,114713.83,113225.41113083302
raw,4,114582.26,114616.31
thetaBiquatBasis,4,114582.26,113355.54561538092
raw,4,114611.82,114708.15
thetaBiquatBasis,4,114611.82,113401.7569074969
raw,4,114780.11,114740.01
